,Key,Year initiated,original_post,title,url,Solution Source,VPN Solution,VPN Protocol,Endpoints,Olivia VPN Problem,Ryan VPN Problem,Sean VPN Problem,Final VPN Problem,VPN #
10,382,2016,bought asa 5545x sfasax922k8 softwar like configur one siteto site vpn firewal need spare new vpn licens come free vpn licens regard,ASA 5545-x and site-to site VPN,https://supportforums.cisco.com/discussion/13034966/asa-5545-x-and-site-site-vpn,VIP,,,Cisco ASA 5545-x,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
11,390,2016,commun wish dynam overrid grouppolici vpnsessiontimeout use ldap attributemap read asa support radiu author attribut section nt clear would seem attribut ietfradiussessiontimeout correspond asa attribut name vpnsessiontimeout anyon confirm r alex,"Set ""IETF-Radius-Idle-Timeout"" to override Group-Policy's ""vpn-session-timeout""?",https://supportforums.cisco.com/discussion/13033946/set-ietf-radius-idle-timeout-override-group-policys-vpn-session-timeout,community,---------------------,---------------------,ASA,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
12,516,2016,dear current go enabl anyconnect mobil ipad current licens hardwar asa5510 1024 mb ram cpu pentium 4 celeron 1599 mhz intern ata compact flash 256mb encrypt hardwar devic asa55x0 onboard acceler revis 0x0 licens featur platform maximum physic interfac unlimit maximum vlan 100 insid host unlimit failov activeact vpnde enabl vpn3desa enabl secur context 2 gtpgpr disabl ssl vpn peer 10 total vpn peer 250 share licens disabl anyconnect mobil disabl anyconnect vpn phone disabl anyconnect essenti disabl advanc endpoint assess disabl uc phone proxi session 2 total uc proxi session 2 botnet traffic filter disabl platform asa 5510 secur plu licens read enabl anyconnect mobil ipad need two licens anyconnect essenti anyconnect mobil correct want enabl 10 user avail licens select per user number per year year final question get licens amazon sinc googl show like offer pleas help thank,Cisco Anyconnect for mobile license?,https://supportforums.cisco.com/discussion/13013491/cisco-anyconnect-mobile-license,VIP,,,ASA5510,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
13,537,2016,question nt realli particularli tie vpn firewal product would realli hope seek clarif regard gener work vpn tunnel guru go understand encrypt asid vpn tunnel emb actual sourc destin eg intern network network packet public internet address between vpn client vpn server exampl site would 19216810024 privat network would like vpn client connect site part 19216810024 network gateway network l3 coreswitch 19216810254 rout intern networkresourc shown in illustr internet router support vpn henc setup anoth vpn behind public ip untitled2gif question rout instal in vpn client 19216840 2552552550 19216810254 mean internet packet still send vpn server vpn server unwrap forward l3 coreswitch gateway ip 19216810254 eg embed packet vpn client machin src dest payload 1921681050 19216843 icmp final packet public src public dest embbed packet 632162324 20220220210 1921681050 19216843 icmp q1 meant final packet send internet vpn server 20220220210 vpn server carri forward packet l3 gateway sure need sort forwardingrout capabl right in gener embed packet get forward vpn server l3 core switch intend destin 19216843 must setupalloc entir separ vpn subnet vpn client vpn server gateway vpn client intern network vpn server l3 coreswitch vpn server rout anoth intern network l3 coreswitch instead regard noob,Understanding VPN on a general level for a beginner.,https://supportforums.cisco.com/discussion/13002841/understanding-vpn-general-level-beginner,VIP,,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
14,558,2016,unabl build site site vpn tunnel between asa 5505 3030 tri everi possibl combin except one work abl ping peer site anyon config between two work lan lan tunnel between 5505 3030 work thank site site lan lan vpn tunnel,Lan to Lan tunnel between ASA 5505 and 3030.,https://supportforums.cisco.com/discussion/12985906/lan-lan-tunnel-between-asa-5505-and-3030,Cisco,,,ASA 5505 and our Cisco 3030,Customer Education/Configuration Assistance,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
15,579,2016,success configur remot access vpn router connect access insid none ipsi sure splitacl ok deni nat themfor everyth oki done lot in asa without anyproblemthank comment enabl secret 5 1 y0aj rhrjbrpe5ndiayhglfeni aaa newmodel aaa authent login bccuser local aaa author network bccgroup local isakmp polici 10 encr ae authent preshar group 2 isakmp client configur group ravpnbcc key dn 8888 domain bcclocal pool vpnpool acl splitacl maxus 7 netmask 2552552550 ipsec transformset myset espa espshahmac mode tunnel dynamicmap dynmap 10 set transformset myset reverserout map cryptovpn client authent list bccuser map cryptovpn isakmp author list bccgroup map cryptovpn client configur address respond map cryptovpn 10 ipsecisakmp dynam dynmap  interfac gigabitethernet004 ip address ip nat outsid negoti auto bfd interv 50 minrx 50 multipli 5 map cryptovpn  ip local pool vpnpool 172312550 17231255250 ip accesslist extend nat deni ip 10000 0255255255 172312550 000255 deni ip 1721600 00255255 172312550 000255 deni ip 19216800 00255255 172312550 000255 permit ip 1721600 015255255 permit ip 19216800 00255255 permit ip 10000 0255255255 ip accesslist extend splitacl permit ip 10000 0255255255 172312550 000255 permit ip 1721600 00255255 172312550 000255 permit ip 19216800 00255255 172312550 000255,remote access VPN connected-no access to inside,https://supportforums.cisco.com/discussion/12982731/remote-access-vpn-connected-no-access-inside,community,---------------------,remote access,ASA,VPN Tunnel Not Coming Up,VPN Feature Not Working,VPN Tunnel Not Coming Up,Applications Not Working Across VPN Tunnel,2
16,598,2016,ipsec tunnel between old routerto remot site migrat 887 config asa remot site unabl establish tunnel site issu number remot site connect back without issu setup 1921681x main site insid asa 86xxx outsid internet 159xxx remot side outsid firewal 101010x remot site accept 1921681x rang nate 19216850x want see config object network nattoremote1 subnet 192168500 2552552550 object network remote1 subnet 1010100 2552552520 nat insid outsid sourc static 19216810 nattoremote1 destin static remote1 remote1 ikev1 polici 30 authent preshar encrypt 3de hash sha group 2 lifetim 86400 ipsec ikev1 transformset 3dessha1 esp3d espshahmac map outsidemap 10 match address qualcomvpn map outsidemap 10 set peer 159xxx map outsidemap 10 set ikev1 transformset 3dessha1 map outsidemap 10 set pf group1 map outsidemap interfac outsid accesslist remotesitevpn extend permit ip host 1921685020 1010100 2552552520 accesslist remotesitevpn extend permit ip host 1921685030 1010100 2552552520 accesslist remotesitevpn extend permit ip host 1921685040 1010100 2552552520 tunnelgroup 159xxx type ipsecl2l tunnelgroup 159xxx generalattribut defaultgrouppolici remotesit tunnelgroup 159xxx ipsecattribut ikev1 presharedkey wonder miss someth obviou,Problem with IPSEC tunnel with NAT,https://supportforums.cisco.com/discussion/12980316/problem-ipsec-tunnel-nat,Cisco,,,,VPN Tunnel Not Coming Up,Customer Education/Configuration Assistance,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
17,632,2016,look buy cisco1921k9 set up site site vpn amazon vpn current behind firewal look setup new cisco1921k9 router per quick text diagram setup work port need forward firewal internet isp modem firewal cisco1921k9 ipsec sitetosit vpn,It is possible to setup CISCO1921/K9 router for site to Site vpn behind a firewall?,https://supportforums.cisco.com/discussion/12957676/it-possible-setup-cisco1921k9-router-site-site-vpn-behind-firewall,nothing,,,CISCO1921/K9,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
18,688,2016,deploy anyconnect 42 solut use asa5505 asa 92 asdm 75 compani manag want see deploy anyconnect first time devic occur connect compani network anoth asa offer possibilti also want secur mobil solut doubl authent possibl radiu certif authent thank help out nt find anyth especi first question googl sincerli,Can we deploy Anyconnect from a specific network?,https://supportforums.cisco.com/discussion/12948546/can-we-deploy-anyconnect-specific-network,VIP,,,ASA5505 (ASA 9.2 - ASDM 7.5),Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
19,704,2016,configur acisco asa setup vpn configur everyth work fine asa outsid interfac pingabl internet secur threat onlyblock ping outsid interfac without interrupt function asa tri follow seem work outsid ip 169215243x asa version 93 2 2 access list blockp deni icmp host 169251243x echorepli accessgroup blockp in interfac outsid,How to block Pinging the ASA 5506 outside interface?,https://supportforums.cisco.com/discussion/12946256/how-block-pinging-asa-5506-outside-interface,VIP,,,ASA Version 9.3(2)2,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
20,738,2016,creat vpn between two router in two differ site vpn work fine note someth ping peer1 peer2 though tunnel although acl interest traffic nt permit icmp between two peer configur follow accesslist 120 permit ip 1010100 2552552550 19216820 2552552550 accesslist 120 permit ip host 1111 host 2222 icmp permit icmp traffic encapsul encrypt pass tunnel ,IOS L2L VPN Question,https://supportforums.cisco.com/discussion/12941621/ios-l2l-vpn-question,Cisco,,,,VPN Tunnel Flapping,VPN feature not working,Customer Education/Configuration Assistance,Applications Not Working Across VPN Tunnel,2
21,741,2016,vendor use window server 2012 r2 see client pass authent connect promptli disconnect without establish session version anyconnect 4201035,"Anyconnect disconnects client after clicking on ""accept"".",https://supportforums.cisco.com/discussion/12941196/anyconnect-disconnects-client-after-clicking-accept,Cisco,,,,VPN Feature Not Working,Applications Not Working Across VPN Tunnel,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
22,757,2016,commun littl lab today play ikev2 accord debug tunnel establish see ping success either debug run debug ikev2 platform 255 debug ikev2 protocol 255 see ref ikev2plat2 386 idl timeout set 30 ikev2plat2 386 session timeout set 0 ikev2plat2 386 group polici set dfltgrppolici ikev2plat2 386 class attr set ikev2plat2 386 tunnel protocol set 0x5c ikev2plat2 386 ipv4 filter id configur connect ikev2plat2 386 group lock set none ikev2plat2 386 ipv6 filter id configur connect ikev2plat2 386 connect attribu set valid true ikev2plat2 386 success retriev conn attr ikev2plat2 386 session registr conn attr retriev pass error ikev2plat2 connect statu regist peer 6060601500 phase1id 6060601 ikev2proto2 386 initi dpd configur 10 second show command say othersiwh ipsec sa asa11 show ikev2 sa ikev2 sa asa11 show ipsec sa ipsec sa follow guid http wwwfir3netcomfirewallsciscociscohowtoconfigureanikev2 thank,ASA IKEv2 Site-2-Site,https://supportforums.cisco.com/discussion/12939051/asa-ikev2-site-2-site,VIP,,IKEv2,ASA,VPN tunnel flapping,Applications Not Working Across VPN Tunnel,VPN Feature Not Working,Applications Not Working Across VPN Tunnel,2
23,762,2016,hallo everyon would like ask cenario acompani structur in differ countri in one countri offic 3040 one datacent think connect offic dc in one countri implement flex vpn would possibl connect countri togeth found graphi hierarch network less connect between hub use central hub someon give detail recommend mayb guid possibl use flex vpn central hub final connect offic togeth offic compani thank much thoma,VPN Network for different countries,https://supportforums.cisco.com/discussion/12938471/vpn-network-different-countries,Cisco,Flex VPN,,,Customer Education/Configuration Asisstance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
24,806,2016,configur anyconnect ssl vpn samsung iphon thank,Anyconnect vpn,https://supportforums.cisco.com/discussion/12931116/anyconnect-vpn,Cisco,,,Samsung and iPhone,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
25,822,2016,ciscoasa 5550 vpn premium licens show version output show licenc anyconnect want understand refer anyconnect premium peer 4 perpetu anyconnect essenti 5000 perpetu anyconnect mobil enabl perpetu anyconnect vpn phone disabl perpetu,Anyconnect License,https://supportforums.cisco.com/discussion/12928577/anyconnect-license,Cisco,,,ASA 5550,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
26,842,2016,possibl use dap assign differ address pool anyconnect user current check pc element like process regist key applic enabl ye use acl allow normal access use acl restrict access work comput use client address pool set tunnel configur tunnelgroup remoteaccess generalattribut addresspool remoteaccesspool1 possibl also dynam set address pool ye use acl allow normal access remoteaccesspool 1 use acl restrict access remoteaccesspool 2 thank rolando valenzuela,Anyconnect dynamic address pool,https://supportforums.cisco.com/discussion/12925496/anyconnect-dynamic-address-pool,community,,DAP?,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
27,894,2016, bought share apex licens let say 2500 user instal on4 differ asa box still 2500 concurr vpn session box total number 2500 share 4 thank josh,AnyConnect shared Apex license,https://supportforums.cisco.com/discussion/12917936/anyconnect-shared-apex-license,VIP,,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
28,922,2016,friend i´m noob firewal creat vpn sitetosit custom follow inform site 10204xx24 10690024 other site custom 1723020024 network site 106900 intern network custom ask make nat network 106900 go 17230200 get out ip 172301000 anyon know make configur work thank,NAT with VPN,https://supportforums.cisco.com/discussion/12914741/nat-vpn,Cisco,,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
29,973,2016,network kind special setup – 101020024 gateway 1010201 router rout traffic 17216137024 host applic server traffic goe new asa5506 1010202 suppli internet access handl vpn connect – problem client connect via vpn tri go 1721613740 host test server access – ping 1721613740 asa comput 1010200network – think miss nat ’ get head around asa version 95 1 name ip local pool vpnpool 1721611172161254 mask 2552552550 ip local pool vpntool2 1721621172162254 mask 2552552550 interfac gigabitethernet11 nameif outsid securitylevel 0 ip address 1234 255255255252 interfac gigabitethernet12 nameif insid securitylevel 100 ip address 1010202 2552552550 interfac gigabitethernet13 shutdown nameif securitylevel ip address interfac gigabitethernet14 shutdown nameif securitylevel ip address interfac gigabitethernet15 shutdown nameif securitylevel ip address interfac gigabitethernet16 shutdown nameif securitylevel ip address interfac gigabitethernet17 shutdown nameif securitylevel ip address interfac gigabitethernet18 nameif dmz securitylevel 50 ip address 1020201 2552552550 interfac management11 managementonli nameif securitylevel ip address ftp mode passiv samesecuritytraff permit interinterfac samesecuritytraff permit intrainterfac object network basicit host 865212814 object network kmd subnet 842556464 255255255224 object network sql host 1010209 object network bitremot host 1010207 object network httpsfjern host 1010206 object network smtp host 1010206 object network httpdmz host 1020202 object network networkobj172161024 subnet 1721610 2552552550 object network networkobj172162024 subnet 1721620 2552552550 object network 1010200lan subnet 1010200 2552552550 object network test host 10102044 object network networkobj101020024 subnet 1010200 2552552550 object network httptsserver host 1020202 object network serverexc host 1010206 object network vpnpooltunnel subnet 1721610 2552552550 object network remoteserv subnet 172161370 2552552550 object network networkobj102020024 subnet 1020200 2552552550 accesslist outsideaccessin extend permit tcp object basicit object serverexc eq 3389 accesslist outsideaccessin extend permit tcp object serverexc eq smtp accesslist outsideaccessin extend permit tcp object httpdmz eq www accesslist outsideaccessin extend permit tcp object serverexc eq http accesslist outsideaccessin extend permit tcp host 1010209 eq 444 accesslist vpnsplittunnelacl standard permit 1010200 2552552550 accesslist vpnsplittunnelacl standard permit 172161370 2552552550 accesslist vpnsplittunnelacl standard permit 1020200 2552552550 accesslist vpntestsplittunnelacl standard permit 1010200 2552552550 pager line 24 log enabl log asdm inform mtu outsid 1500 mtu insid 1500 mtu dmz 1500 icmp unreach ratelimit 1 burstsiz 1 asdm imag disk0 asdm752153bin asdm histori enabl arp timeout 14400 arp permitnonconnect nat dmz outsid sourc static networkobj102020024 networkobj102020024 destin static networkobj172161024 networkobj172161024 noproxyarp routelookup nat dmz outsid sourc static networkobj102020024 networkobj102020024 destin static networkobj172162024 networkobj172162024 noproxyarp routelookup nat insid outsid sourc static networkobj101020024 networkobj101020024 destin static networkobj172162024 networkobj172162024 noproxyarp routelookup nat insid outsid sourc static networkobj101020024 networkobj101020024 destin static networkobj172161024 networkobj172161024 noproxyarp routelookup object network ffktsql nat insid outsid static interfac servic tcp 444 444 object network bitremot nat insid outsid static interfac servic tcp 3389 3389 object network httpsfjern nat insid outsid static interfac servic tcp http http object network smtp nat insid outsid static interfac servic tcp smtp smtp object network httptsserver nat dmz outsid static interfac servic tcp www www nat dmz outsid afterauto sourc dynam interfac nat insid outsid afterauto sourc dynam interfac accessgroup outsideaccessin in interfac outsid rout outsid 0000 0000 1234 1 rout insid 172161370 2552552550 1010201 1 timeout xlate 30000 timeout patxlat 00030 timeout conn 10000 halfclos 01000 udp 00200 icmp 00002 timeout sunrpc 01000 h323 00500 h225 10000 mgcp 00500 mgcppat 00500 timeout sip 03000 sipmedia 00200 sipinvit 00300 sipdisconnect 00200 timeout sipprovisionalmedia 00200 uauth 00500 absolut timeout tcpproxyreassembl 00100 timeout floatingconn 00000 aaaserv shvdc01 protocol radiu aaaserv shvdc01 insid host 1010207 key radiuscommonpw userident defaultdomain local http server enabl 4444 http 0000 0000 insid,VPN client route to different lan,https://supportforums.cisco.com/discussion/12883321/vpn-client-route-different-lan,community,,,ASA5506,VPN Tunnel Flapping,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
30,1006,2016,greet hope someon help issu done creat dmvpn network between hub spoke b c would like deni spoke top spoke traffic allow hub spoke far tri none seem trick mayb correctli 1 eigrp put dmvpn network enabl split horizon eigrp x network 2 deni access list ad tunnel interfac 3 disabl ip nhrp redirect tunnel interfac remov ip nhrp shortcut spoke let know provid help solv thank in advanc dmvpn eigrp deni spoke,DMVPN Deny Spoke to Spoke Traffic,https://supportforums.cisco.com/discussion/12879696/dmvpn-deny-spoke-spoke-traffic,VIP,DMVPN,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
