Key,Year initiated,original_post,title,url,Solution Source,VPN Solution,VPN Protocol,Endpoints,Olivia VPN Problem,Ryan VPN Problem,Sean VPN Problem,Final VPN Problem,VPN #
382,2016,"Hi, We just bought Cisco ASA 5545-x with SF-ASA-X-9.2.2-K8 software. We like to configure one site-to site VPN on this firewall. Do we need spare new VPN license or does it comes with any free VPN license? Regards,",ASA 5545-x and site-to site VPN,https://supportforums.cisco.com/discussion/13034966/asa-5545-x-and-site-site-vpn,VIP,,,Cisco ASA 5545-x,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
390,2016,"Hi Community, I wish to have dynamic override of Group-Policy's ""vpn-session-timeout"" (using ""ldap attribute-map""). From reading ASA's ""Supported RADIUS Authorization Attributes"" section, it isn't clear but it would seem attribute ""IETF-Radius-Session-Timeout"" to be the corresponding ASA's Cisco attribute name for ""vpn-session-timeout"". Anyone can confirm? R's, Alex","Set ""IETF-Radius-Idle-Timeout"" to override Group-Policy's ""vpn-session-timeout""?",https://supportforums.cisco.com/discussion/13033946/set-ietf-radius-idle-timeout-override-group-policys-vpn-session-timeout,community,---------------------,---------------------,ASA,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
516,2016,"Dear All: currently we are going to enable cisco anyconnect for mobile(IPAD),currently our license is: Hardware: ASA5510, 1024 MB RAM, CPU Pentium 4 Celeron 1599 MHz Internal ATA Compact Flash, 256MB Encryption hardware device: Cisco ASA-55x0 on-board accelerator (revision 0x0) Licensed features for this platform: Maximum Physical Interfaces: Unlimited Maximum VLANs: 100 Inside Hosts: Unlimited Failover: Active/Active VPN-DES: Enabled VPN-3DES-AES: Enabled Security Contexts: 2 GTP/GPRS: Disabled SSL VPN Peers: 10 Total VPN Peers: 250 Shared License: Disabled AnyConnect for Mobile: Disabled AnyConnect for Cisco VPN Phone: Disabled AnyConnect Essentials: Disabled Advanced Endpoint Assessment: Disabled UC Phone Proxy Sessions: 2 Total UC Proxy Sessions: 2 Botnet Traffic Filter: Disabled This platform has an ASA 5510 Security Plus license. as i have read, to enable cisco anyconnect for mobile(IPAD), i need two licenses: AnyConnect Essentials and AnyConnect for Mobile, is that correct? if i want to enable this just for 10 users, can i do that? what are the available license that i should select per user numbers per year (or more than year?) my final question can i get these licenses from Amazon, since google shows like these offers. please help thank you",Cisco Anyconnect for mobile license?,https://supportforums.cisco.com/discussion/13013491/cisco-anyconnect-mobile-license,VIP,,,ASA5510,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
537,2016,"Hi all, This question isn't really particularly tied to any Cisco VPN / firewall product. But I would really hope to seek clarifications with regards to the general workings of a VPN tunnel from gurus here.. So here we go... I understand that (encryption aside), VPN tunnels embeds the actual source and destination (e.g. internal network) of a network packet with the public internet address between the VPN client and the VPN server. For example, on site A, i would have a 192.168.10.0/24 private network and i would like VPN clients connections to site A to be part of this 192.168.10.0/24 network. The gateway for this network is a L3 coreswitch- 192.168.10.254 which will then routes to other internal network/resources. As shown in my illustration below, i have an internet router that does not support VPN, hence i have to setup another VPN behind it with a public IP untitled2.gif My question is-> if there is a route install in my VPN client with 192.168.4.0 255.255.255.0 192.168.10.254 Does that means my ""internet"" packet will still be send to the VPN server, but the VPN server will then ""unwrap"" it and ""forward"" it to the L3 coreswitch gateway IP- 192.168.10.254? e.g. embedded packet A from VPN client machine [src] [dest] [payload] [192.168.10.50] [192.168.4.3][icmp] final packet [public src][public dest][embbeded packet A] [63.216.23.24][202.202.202.10] [192.168.10.50][192.168.4.3][ICMP] q1) What i meant is, the final packet is send through the internet to the VPN server (202.202.202.10), how does the VPN server then carry on to forward the packet to the L3 gateway then? surely it need some sort of forwarding/routing capability right? In general how does, the embedded packet A get forwarded to the VPN server, then to the L3 core switch-> to the intended destination 192.168.4.3?-- or is it that i must setup/allocate an entire separate VPN subnet for the VPN client and VPN server; and the gateway for the VPN client to all the other internal networks will be to the VPN server (and not the L3 coreswitch), with the VPN server having the routes to another internal network through to the L3 coreswitch instead? Regards, Noob",Understanding VPN on a general level for a beginner.,https://supportforums.cisco.com/discussion/13002841/understanding-vpn-general-level-beginner,VIP,,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
558,2016,I am unable to build an site to site vpn tunnel between an ASA 5505 and our Cisco 3030. I have tried every possible combination except the one that will work. I am able to ping each peer site from the other. Does anyone have a config between two working Lan to Lan tunnels between a 5505 and 3030 that works. Thanks site to site lan to lan vpn tunnel,Lan to Lan tunnel between ASA 5505 and 3030.,https://supportforums.cisco.com/discussion/12985906/lan-lan-tunnel-between-asa-5505-and-3030,Cisco,,,ASA 5505 and our Cisco 3030,Customer Education/Configuration Assistance,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
579,2016,"Hi,I have successfully configured remote access VPN for router,it is connected,but no access to inside,none of my ip's.I am sure SPLIT_ACL is ok and I have denied NATting them.For me everything is ok.I have done a lot it in ASA without anyproblem.Thanks for comments. enable secret 5 $1$y0AJ$rhrjbrpe5NDiAyHGlfeNi/! aaa new-model!! aaa authentication login bcc_users local aaa authorization network bcc_group local ! crypto isakmp policy 10 encr aes authentication pre-share group 2! crypto isakmp client configuration group ra_vpn_bcc key ********* dns 8.8.8.8 domain bcc.local pool vpn_pool acl SPLIT_ACL max-users 7 netmask 255.255.255.0!! crypto ipsec transform-set myset esp-aes esp-sha-hmac mode tunnel!!! crypto dynamic-map dynmap 10 set transform-set myset reverse-route!! crypto map CRYPTO_VPN client authentication list bcc_users crypto map CRYPTO_VPN isakmp authorization list bcc_group crypto map CRYPTO_VPN client configuration address respond crypto map CRYPTO_VPN 10 ipsec-isakmp dynamic dynmap ! ! interface GigabitEthernet0/0/4 ip address %%%%%%%%%%% ip nat outside negotiation auto bfd interval 50 min_rx 50 multiplier 5 crypto map CRYPTO_VPN! ! ip local pool vpn_pool 172.31.255.0 172.31.255.250 ip access-list extended NAT deny ip 10.0.0.0 0.255.255.255 172.31.255.0 0.0.0.255 deny ip 172.16.0.0 0.0.255.255 172.31.255.0 0.0.0.255 deny ip 192.168.0.0 0.0.255.255 172.31.255.0 0.0.0.255 permit ip 172.16.0.0 0.15.255.255 any permit ip 192.168.0.0 0.0.255.255 any permit ip 10.0.0.0 0.255.255.255 any ip access-list extended SPLIT_ACL permit ip 10.0.0.0 0.255.255.255 172.31.255.0 0.0.0.255 permit ip 172.16.0.0 0.0.255.255 172.31.255.0 0.0.0.255 permit ip 192.168.0.0 0.0.255.255 172.31.255.0 0.0.0.255",remote access VPN connected-no access to inside,https://supportforums.cisco.com/discussion/12982731/remote-access-vpn-connected-no-access-inside,community,---------------------,remote access,ASA,VPN Tunnel Not Coming Up,VPN Feature Not Working,VPN Tunnel Not Coming Up,Applications Not Working Across VPN Tunnel,2
598,2016,"Hi I had an ipsec tunnel between an old Cisco routerto a remote site. I am migrating the 887 config to an ASA. The remote site is unable to establish the tunnel. This is the only site having issues. There are a number of other remote sites connecting back without issue. The setup is 192.168.1.x (main site inside)- ASA- 86.x.x.x (outside)- Internet- 159.x.x.x (remote side outside)- Firewall- 10.10.10.x The remote site will not accept the 192.168.1.x range so I am NATing to 192.168.50.x which is what they want to see The config I have is object network NAT_TO_Remote1 subnet 192.168.50.0 255.255.255.0 object network Remote1 subnet 10.10.10.0 255.255.252.0 nat (inside,outside) source static 192.168.1.0 NAT_TO_Remote1 destination static Remote1 Remote1 crypto ikev1 policy 30 authentication pre-share encryption 3des hash sha group 2 lifetime 86400 crypto ipsec ikev1 transform-set 3DES-SHA1 esp-3des esp-sha-hmac crypto map Outside_map 10 match address Qualcom_VPN crypto map Outside_map 10 set peer 159.x.x.x crypto map Outside_map 10 set ikev1 transform-set 3DES-SHA1 crypto map Outside_map 10 set pfs group1 crypto map Outside_map interface outside access-list RemoteSite_VPN extended permit ip host 192.168.50.20 10.10.10.0 255.255.252.0 access-list RemoteSite_VPN extended permit ip host 192.168.50.30 10.10.10.0 255.255.252.0 access-list RemoteSite_VPN extended permit ip host 192.168.50.40 10.10.10.0 255.255.252.0 tunnel-group 159.x.x.x type ipsec-l2l tunnel-group 159.x.x.x general-attributes default-group-policy RemoteSites tunnel-group 159.x.x.x ipsec-attributes ikev1 pre-shared-key ***** Just wondering if I am missing something obvious here.",Problem with IPSEC tunnel with NAT,https://supportforums.cisco.com/discussion/12980316/problem-ipsec-tunnel-nat,Cisco,,,,VPN Tunnel Not Coming Up,Customer Education/Configuration Assistance,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
632,2016,I am looking to buy CISCO1921/K9 to set up site to site vpn with Amazon VPN. We are currently behind a firewall. I am looking to setup the new CISCO1921/K9 router as per the quick text diagram below. Will my setup work? and what ports will I need to forward on my firewall? INTERNET--> ISP Modem----> Firewall---- CISCO1921/K9 ipsec site-to-site vpn,It is possible to setup CISCO1921/K9 router for site to Site vpn behind a firewall?,https://supportforums.cisco.com/discussion/12957676/it-possible-setup-cisco1921k9-router-site-site-vpn-behind-firewall,nothing,,,CISCO1921/K9,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
688,2016,"Hello, I'm about to deploy a CISCO AnyConnect 4.2 solution using an ASA5505 (ASA 9.2- ASDM 7.5) for my company. The IT manager wants to see the deployment of AnyConnect for the first time on devices to occur only while connected to the company's network, not another. Do the ASA offer this possibilty? Also, he wants to secure the mobility solution by doing double authentication, is it possible to do Radius + Certificate authentication? Thanks for helping me out because i don't find anything especially for the first question on Google. Sincerly.",Can we deploy Anyconnect from a specific network?,https://supportforums.cisco.com/discussion/12948546/can-we-deploy-anyconnect-specific-network,VIP,,,ASA5505 (ASA 9.2 - ASDM 7.5),Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
704,2016,I have configured aCisco ASA and setup VPN configuration. Everything is working fine. The ASA outside interface is pingable (from internet) which is a security threat. How to onlyblock pinging the outside interface without interrupting the functions of the ASA. I have tried the following but not seems to be working. outside IP = 169.215.243.X ASA Version 9.3(2)2 Access list BLOCK_PING deny icmp any host 169.251.243.X echo-reply Access-group BLOCK_PING in interface outside,How to block Pinging the ASA 5506 outside interface?,https://supportforums.cisco.com/discussion/12946256/how-block-pinging-asa-5506-outside-interface,VIP,,,ASA Version 9.3(2)2,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
738,2016,"Hi i created a vpn between two routers in two different sites. The VPN is working fine but i noted something that i can ping from peer1 to peer2 though the tunnel although the ACL of the interesting traffic doesn't permit icmp between two peers, it is configured as following: access-list 120 permit ip 10.10.10.0 255.255.255.0 192.168.2.0 255.255.255.0 access-list 120 permit ip host 1.1.1.1 host 2.2.2.2 no icmp is permitted but icmp traffic is encapsulated, encrypted and passed through the tunnel, why???",IOS L2L VPN Question,https://supportforums.cisco.com/discussion/12941621/ios-l2l-vpn-question,Cisco,,,,VPN Tunnel Flapping,VPN feature not working,Customer Education/Configuration Assistance,Applications Not Working Across VPN Tunnel,2
741,2016,Our vendor is using Windows Server 2012 R2. We see that the client passes authentication and connects then promptly disconnects without establishing a session. The version of Anyconnect is 4.2.01035,"Anyconnect disconnects client after clicking on ""accept"".",https://supportforums.cisco.com/discussion/12941196/anyconnect-disconnects-client-after-clicking-accept,Cisco,,,,VPN Feature Not Working,Applications Not Working Across VPN Tunnel,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
757,2016,"Hello community! I have a little LAB and today I was playing with IKEv2, and according to my debugs the Tunnels is establish, but I cannot see it and the ping is not successful either:(This are the debugs I'm running: debug crypto ikev2 platform 255 debug crypto ikev2 protocol 255 And this is what I'm seeing (Ref) IKEv2-PLAT-2: (386): idle timeout set to: 30 IKEv2-PLAT-2: (386): session timeout set to: 0 IKEv2-PLAT-2: (386): group policy set to DfltGrpPolicy IKEv2-PLAT-2: (386): class attr set IKEv2-PLAT-2: (386): tunnel protocol set to: 0x5c IKEv2-PLAT-2: (386): IPv4 filter ID not configured for connection IKEv2-PLAT-2: (386): group lock set to: none IKEv2-PLAT-2: (386): IPv6 filter ID not configured for connection IKEv2-PLAT-2: (386): connection attribues set valid to TRUE IKEv2-PLAT-2: (386): Successfully retrieved conn attrs IKEv2-PLAT-2: (386): Session registration after conn attr retrieval PASSED, No error IKEv2-PLAT-2: CONNECTION STATUS: REGISTERED... peer: 60.60.60.1:500, phase1_id: 60.60.60.1 IKEv2-PROTO-2: (386): Initializing DPD, configured for 10 seconds But a few show commands says othersiwhe. There are no ipsec sas ASA1-1# show crypto ikev2 sa There are no IKEv2 SAs ASA1-1# show crypto ipsec sa There are no ipsec sas I followed this guide: https://www.fir3net.com/Firewalls/Cisco/cisco-how-to-configure-an-ikev2-... Thanks!",ASA IKEv2 Site-2-Site,https://supportforums.cisco.com/discussion/12939051/asa-ikev2-site-2-site,VIP,,IKEv2,ASA,VPN tunnel flapping,Applications Not Working Across VPN Tunnel,VPN Feature Not Working,Applications Not Working Across VPN Tunnel,2
762,2016,"Hallo everyone, I would like to ask you about the Cenario below, Acompany has the same Structure in different countries. in one country, there is some Offices, about 30-40, and one Datacenter. what i was thinking to connect the offices with the DC in one country was to implement the Flex VPN. How would be possible to connect all the countries together? I have found some Graphis about an Hierarchical Network which is more or less about a connection between Hubs, and using Central Hub. Can someone give me more details about a recommendation? maybe a guide? is it possible to use a FLEX VPN with Central HUB and finally connect all the offices together for all the offices for a company? Thank you so much, Thomas",VPN Network for different countries,https://supportforums.cisco.com/discussion/12938471/vpn-network-different-countries,Cisco,Flex VPN,,,Customer Education/Configuration Asisstance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
